parsel_id,alan_da,crop,parcel_type,parcel_id,birim_tipi_est,birim_sayisi_toplam_est,toplam_verim_kg_est,brut_hasilat_tl_est,toplam_maliyet_tl_est,tl_m3_net_est,cok_yillik_kilit,karar_grubu,mevcut_su_m3,mevcut_kar_tl,birim_basina_su_l_est,mevcut_tl_m3,karar_prensibi
P38,596.0,Şeftali,orchard,P38,ağaç,16688.0,1321897.01,13906621.17,8065866.47,18.478,Evet,cok_yillik_koru,316100.52,5840800.0,18941.786,18.478,"Bahçe/çok yıllık: ana ürün korunur, su ve kâr iyileştirmesi sulama-yönetim üzerinden yapılır."
P39,650.0,Mısır (Silajlık),field,P39,bitki,5850000.0,4225000.0,25350000.0,21320000.0,16.593,Hayır,tarla_adaptasyon,242879.0,4030000.0,41.518,16.593,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P40,17.0,Biber (Sivri),field,P40,fide,51000.0,29750.0,330555.22,211555.55,16.81,Hayır,sebze_yogun,7079.31,119000.0,138.81,16.81,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P41,1248.0,Domates (Sofralık),field,P41,fide,2745600.0,4992000.0,30089779.2,19257356.35,17.844,Hayır,sebze_yogun,607052.16,10832263.104,221.1,17.844,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P42,1.0,Soğan (Kuru),field,P42,fide,35000.0,1750.0,35499.45,22719.62,147.114,Hayır,sebze_yogun,86.87,12779.786,2.482,147.114,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P43,67.0,Soğan (Kuru),field,P43,fide,2345000.0,117250.0,2378463.15,1522214.54,147.114,Hayır,sebze_yogun,34273.18,856245.662,14.615,24.983,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P44,20.0,Sorgum,field,P44,bitki,300000.0,120000.0,720000.0,644000.0,12.232,Hayır,tarla_adaptasyon,6213.0,76000.0,20.71,12.232,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P45,3754.0,Domates (Salçalık),field,P45,fide,9009600.0,30032000.0,166758686.4,106725180.14,32.876,Hayır,sebze_yogun,1826020.68,60032913.126,202.675,32.876,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P46,70.0,Tritikale (Yeşilot),field,P46,bitki,26600000.0,140000.0,840000.0,595000.0,12.148,Hayır,tarla_adaptasyon,20168.4,245000.0,0.758,12.148,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P47,2.0,Vişne,orchard,P47,ağaç,56.0,5875.0,45238.09,26238.1,17.912,Evet,cok_yillik_koru,1060.74,19000.0,18941.786,17.912,"Bahçe/çok yıllık: ana ürün korunur, su ve kâr iyileştirmesi sulama-yönetim üzerinden yapılır."
P48,1650.0,Yonca (Yeşilot),field,P48,bitki,330000000.0,9075000.0,54450000.0,43725000.0,10.73,Hayır,tarla_adaptasyon,999504.0,10725000.0,3.029,10.73,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P49,10.0,Yulaf (Yeşilot),field,P49,bitki,3500000.0,15000.0,105555.0,67555.56,8.677,Hayır,tarla_adaptasyon,4379.6,38000.0,1.251,8.677,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
