crop,year,price_tl_kg,cost_tl_da,support_tl_da,note,ekonomi_kaynak_durumu
Kayısı,2024,18.1579,13119.048,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Kiraz,2024,16.7328,15880.952,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Kuru fasulye,2024,42.0,3300.0,0.0,v18:season_observed_or_derived,season_observed_or_derived
Lahana (Beyaz),2024,4.0,23027.252,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Lahana (Kırmızı),2024,4.0,18800.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Mısır (Silajlık),2024,6.0,32800.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Nektarin,2024,21.6238,13809.524,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Nohut,2024,35.0,2500.0,0.0,v18:season_observed_or_derived,season_observed_or_derived
Patates,2024,7.0,14000.0,0.0,v18:season_observed_or_derived,season_observed_or_derived
Sarımsak (Kuru),2024,25.0,14953.192,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Sorgum,2024,6.0,32200.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Soğan (Kuru),2024,20.2854,22719.62,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Soğan (Kuru),2024,20.2854,22719.62,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Tritikale (Dane),2024,18.75,4800.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Tritikale (Yeşilot),2024,6.0,8500.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Vişne,2024,7.7001,13119.048,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Yonca (Yeşilot),2024,6.0,26500.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Yulaf (Dane),2024,23.1481,4444.444,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Yulaf (Yeşilot),2024,7.037,6755.556,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Çavdar (Dane),2024,21.3675,4444.444,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Çavdar (Yeşilot),2024,6.0,8100.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Çilek,2024,15.0376,20714.286,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Şeftali,2024,10.5202,13533.333,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
